Method,Q(OOP),PSNR_HVSM(OOP),PSNR,HVS-M,MSE,Filesize (KB),CR
Standard space,35,39.30,42.99,39.30,6.16,0.9,178.6
VST space,22,34.02,39.98,34.02,12.35,1.4,112.8
